User_Query,Intent
User_Query,Intent
"Hi",General Greetings
"Hello",General Greetings
"Hey",General Greetings
"Good morning",General Greetings
"Good evening",General Greetings
"What can you do?",General Greetings
"Tell me about yourself",General Greetings
"What services do you offer?",General Greetings
"Where is my order?",Order Tracking
"I want to return my shoes",Return & Refund Policy
"Are these jeans available in medium size?",Product Availability
"What are your store hours?",Store Location/Hours
"Hi, I need help",General Greetings
"Can I get a discount on bulk orders?",Unknown/Other
"How long does delivery take?",Order Tracking
"How do I return a damaged item?",Return & Refund Policy
"Do you have iPhone cases in stock?",Product Availability
"Is there a store near me?",Store Location/Hours
"Hello!",General Greetings
"Bye, thanks for your help",General Greetings
"Do you have customer support number?",Unknown/Other
"My parcel hasn’t arrived yet",Order Tracking
"I want to cancel my order",Return & Refund Policy
"Can I pick up the item from your warehouse?",Store Location/Hours
"Do you sell Samsung smartwatches?",Product Availability
"Good morning",General Greetings
"Can I get a refund?",Return & Refund Policy
"How do I cancel my order?",Return & Refund Policy
"Hello there!",General Greetings
"Where is my package?",Order Tracking
"Are your stores open on weekends?",Store Location/Hours
"Can I collect from store?",Store Location/Hours
"I need to return an item",Return & Refund Policy
"I want to send this back",Return & Refund Policy
"I changed my mind, how do I return it?",Return & Refund Policy
"How can I return a damaged product?",Return & Refund Policy
"I want to cancel and return the order",Return & Refund Policy
